Symbol,Exchange,Date,Time,CurrentVolume,LastPrice,NBB,NBO,ImbSide,ImbalanceSize, Notional Imbalance ,ImbalanceSource,ImbalanceType,ExchangeDate,ExchangeTime,MatchedSize,CurrentReferencePrice,NearIndicativePrice,FarIndicativePrice,Matched to Unmatched,Close,% move from Snashot to Close
MA,UNEX,20200619,54:59.9,2941280,301.35,301.29,301.41,B,50979," $ 15,362,521.65 ",NYSE,I,20200619,55:00.2,590204,301.55,308.71,319.15,0.08637521942,296.5,-1.61%
MA,UNEX,20191220,49:59.7,2810855,298.15,298.12,298.18,B,261575," $ 77,988,586.25 ",NYSE,C,20191220,50:00.0,1075111,298.16,0,0,0.2433004592,298.57,0.14%
MA,UNEX,20191220,55:00.3,2881555,298.51,298.51,298.54,B,151709," $ 45,286,653.59 ",NYSE,I,20191220,55:00.6,1328691,298.515,305.77,308.94,0.1141792938,298.57,0.02%
MA,UNEX,20190920,49:59.6,3436453,272.89,272.86,272.91,B,65871," $ 17,975,537.19 ",NYSE,C,20190920,50:00.0,408005,272.87,0,0,0.1614465509,271.17,-0.63%
MA,UNEX,20190827,49:59.9,1489143,276.78,276.74,276.78,B,64216," $ 17,773,704.48 ",NYSE,C,20190827,50:00.0,140536,276.81,0,0,0.456936301,276.64,-0.05%
MA,UNEX,20190827,55:00.6,1540902,276.05,276.2,276.2,B,23857," $ 6,585,724.85 ",NYSE,I,20190827,55:00.2,220891,276.05,278.23,287.78,0.1080034949,276.64,0.21%
JPM,UNEX,20200619,49:59.9,23913534,97.84,97.79,97.84,B,398696," $ 39,008,416.64 ",NYSE,C,20200619,50:00.0,8647738,97.84,0,0,0.04610407947,97.81,-0.03%
JPM,UNEX,20200619,55:00.4,24658148,97.85,97.85,97.86,B,1241260," $ 121,457,291.00 ",NYSE,I,20200619,55:00.3,9201059,97.85,99.32,98.16,0.1349040366,97.81,-0.04%
JPM,UNEX,20200529,49:59.7,18888711,97.3,97.3,97.31,B,212052," $ 20,632,659.60 ",NYSE,C,20200529,50:00.0,2581639,97.29,0,0,0.08213851743,97.31,0.01%
JPM,UNEX,20200529,55:00.3,19442050,97.63,97.63,97.64,B,58645," $ 5,725,511.35 ",NYSE,I,20200529,55:00.6,2977621,97.61,97.9,98.57,0.01969525336,97.31,-0.33%
JPM,UNEX,20191220,49:59.7,11709346,137.075,137.07,137.08,B,2726111," $ 373,681,665.33 ",NYSE,C,20191220,50:00.0,4518292,137.08,0,0,0.6033498942,137.24,0.12%
JPM,UNEX,20191220,55:00.3,12126115,137.33,137.32,137.33,B,1312429," $ 180,235,874.57 ",NYSE,I,20191220,55:00.2,6444974,137.31,138.8,143.32,0.2036360426,137.24,-0.07%
JPM,UNEX,20190920,49:59.6,11729427,119.39,119.38,119.4,B,1703826," $ 203,419,786.14 ",NYSE,C,20190920,50:00.0,3491307,119.4,0,0,0.4880195296,118.9,-0.41%
JPM,UNEX,20190920,55:00.8,12085478,119.76,119.71,119.72,B,81638," $ 9,776,966.88 ",NYSE,I,20190920,55:00.3,5563603,119.71,119.72,123.13,0.01467358473,118.9,-0.72%
JPM,UNEX,20190827,49:59.9,10662011,105.935,105.93,105.94,B,264341," $ 28,002,963.84 ",NYSE,C,20190827,50:00.0,1411223,105.94,0,0,0.1873134154,105.74,-0.18%
JPM,UNEX,20190827,55:00.6,10943158,105.7,105.7,105.66,B,218108," $ 23,054,015.60 ",NYSE,I,20190827,55:00.2,1700018,105.69,106.65,107.08,0.1282974651,105.74,0.04%
UNH,UNEX,20191126,54:59.7,2139011,281.56,281.51,281.57,B,45559," $ 12,827,592.04 ",NYSE,I,20191126,55:00.2,395882,281.56,284.96,0,0.115082272,281.4,-0.06%
UNH,UNEX,20190920,49:59.6,4214592,232.815,232.8,232.82,B,323880," $ 75,404,122.20 ",NYSE,C,20190920,50:00.0,782091,232.82,0,0,0.4141206074,232.89,0.03%
UNH,UNEX,20190920,55:00.8,4329370,233.25,233.22,233.25,B,284229," $ 66,296,414.25 ",NYSE,I,20190920,55:00.3,941595,233.22,240,0,0.3018590795,232.89,-0.15%
HD,UNEX,20191220,49:59.7,4168130,221.24,221.22,221.24,B,764267," $ 169,086,431.08 ",NYSE,C,20191220,50:00.0,786453,221.23,0,0,0.9717897954,221.19,-0.02%
HD,UNEX,20191220,55:00.3,4310206,221.14,221.11,221.14,B,640339," $ 141,604,566.46 ",NYSE,I,20191220,55:00.3,1052879,221.13,0,0,0.6081790975,221.19,0.02%
HD,UNEX,20191126,50:00.7,8109412,220.47,220.47,220.5,B,47979," $ 10,577,930.13 ",NYSE,I,20191126,50:00.4,704962,220.52,222.16,222.68,0.06805898758,220.76,0.13%
HD,UNEX,20191126,54:59.7,8301120,220.871,220.85,220.88,B,89415," $ 19,749,180.47 ",NYSE,I,20191126,55:00.1,804316,220.85,223.79,222.68,0.1111689933,220.76,-0.05%
HD,UNEX,20190827,49:59.9,2060381,218.49,218.48,218.51,B,114404," $ 24,996,129.96 ",NYSE,C,20190827,50:00.0,699103,218.48,0,0,0.1636439838,218.21,-0.13%
HD,UNEX,20190827,55:00.1,2118756,218.29,218.29,218.29,B,128460," $ 28,041,533.40 ",NYSE,I,20190827,55:00.1,895156,218.24,222.36,222.51,0.143505713,218.21,-0.04%
VZ,UNEX,20200619,49:59.9,12522606,56.34,56.33,56.34,B,2261697," $ 127,424,008.98 ",NYSE,C,20200619,50:00.0,7193503,56.33,0,0,0.3144082932,56.16,-0.32%
VZ,UNEX,20200529,49:59.7,12409892,55.85,55.84,55.85,B,5547934," $ 309,852,113.90 ",NYSE,C,20200529,50:00.0,3139238,55.85,0,0,1.767286838,57.38,2.74%
VZ,UNEX,20200529,55:00.3,13732311,56.22,56.21,56.22,B,4483165," $ 252,043,536.30 ",NYSE,I,20200529,55:00.6,4425549,56.22,0,0,1.01301895,57.38,2.06%
VZ,UNEX,20191220,49:59.7,15097904,61.935,61.93,61.94,B,846424," $ 52,423,270.44 ",NYSE,C,20191220,50:00.0,5766097,61.94,0,0,0.1467932295,62.07,0.22%
VZ,UNEX,20191220,54:59.8,15486604,61.92,61.91,61.92,B,2297357," $ 142,252,345.44 ",NYSE,I,20191220,55:00.1,6651828,61.915,63.72,62.66,0.3453722796,62.07,0.24%
VZ,UNEX,20191126,50:00.2,5559717,59.635,59.61,59.62,B,1229475," $ 73,319,741.63 ",NYSE,C,20191126,50:00.0,1239727,59.615,0,0,0.9917304374,59.89,0.43%
VZ,UNEX,20191126,54:59.7,5974057,59.77,59.76,59.77,B,1006938," $ 60,184,684.26 ",NYSE,I,20191126,55:00.2,1709206,59.77,62.6,0,0.5891261791,59.89,0.20%
BAC,UNEX,20200619,49:59.9,64100078,24.8621,24.86,24.87,B,671299," $ 16,689,902.87 ",NYSE,C,20200619,50:00.0,25091141,24.86,0,0,0.02675442301,25.25,1.56%
BAC,UNEX,20200619,55:00.4,66995905,24.965,24.96,24.97,B,9685441," $ 241,797,034.57 ",NYSE,I,20200619,55:00.3,27030898,24.97,26,24.99,0.3583099977,25.25,1.14%
BAC,UNEX,20191220,49:59.7,42553819,34.94,34.93,34.94,B,10663231," $ 372,573,291.14 ",NYSE,C,20191220,50:00.0,28872447,34.935,0,0,0.3693220391,34.96,0.06%
